resume_text,label,job_title
worked on several projects involving etl airflow spark hadoop attention to detail skills: etl airflow spark hadoop,Data Engineering,Data Engineer
passionate about learning new technologies such as bugzilla selenium junit manual testing adaptability skills: bugzilla selenium junit manual testing,Software QA,QA Tester
hands-on experience in swift ui design firebase cocoa attention to detail skills: swift ui design firebase cocoa,Software Development,iOS Developer
actively collaborated in team settings using cs htlm recat figma excel supply chain skills: css html react figma,Design,Frontend Developer
actively collaborated in team settings using grammar copywriting blogging seo leadership skills: grammar copywriting blogging seo,Content,Content Writer
worked on several projects involving typescript node express recat presentation skills content writing skills: typescript node express react,Software Development,Full Stack Developer
passionate about learning new technologies such as postman bugzilla manual testing junit testng problem solving skills: postman bugzilla manual testing junit testng,Software QA,QA Tester
hands-on experience in mongodb express typescript docker node recat supply chain skills: mongodb express typescript docker node react,Software Development,Full Stack Developer
responsible for developing solutions using employee relations hrms recruitment payroll onboarding adaptability accounting skills: employee relations hrms recruitment payroll onboarding,HR,HR Specialist
passionate about learning new technologies such as typescript tailwind cs recat adaptability skills: typescript tailwind css react,Design,Frontend Developer
actively collaborated in team settings using ci/cd kubernetes jenkins linux aws team player communication skills: ci/cd kubernetes jenkins linux aws,IT Infrastructure,DevOps Engineer
responsible for developing solutions using cisco vpn routing firewalls content writing skills: cisco vpn routing firewalls,IT Infrastructure,Network Engineer
actively collaborated in team settings using recat js tailwind typescript salesforce skills: react js tailwind typescript,Design,Frontend Developer
worked on several projects involving android studio firebase jvaa xml kotlin attention to detail skills: android studio firebase java xml kotlin,Software Development,Android Developer
responsible for developing solutions using junit testng bugzilla manual testing team player skills: junit testng bugzilla manual testing,Software QA,QA Tester
responsible for developing solutions using docker slq django pyhton salesforce attention to detail skills: docker sql django python,Software Development,Backend Developer
actively collaborated in team settings using xml kotlin firebase jvaa team player skills: xml kotlin firebase java,Software Development,Android Developer
actively collaborated in team settings using jvaa firebase kotlin xml excel skills: java firebase kotlin xml,Software Development,Android Developer
passionate about learning new technologies such as grammar wordpress blogging copywriting problem solving skills: grammar wordpress blogging copywriting,Content,Content Writer
hands-on experience in etl spark slq hadoop pyhton airflow presentation skills salesforce skills: etl spark sql hadoop python airflow,Data Engineering,Data Engineer
worked on several projects involving forecasting financial modeling excel erp budgeting excel skills: forecasting financial modeling excel erp budgeting,Finance,Finance Analyst
responsible for developing solutions using slq pyhton airflow etl spark hadoop presentation skills skills: sql python airflow etl spark hadoop,Data Engineering,Data Engineer
worked on several projects involving django git docker pyhton rest slq linux accounting attention to detail skills: django git docker python rest sql linux,Software Development,Backend Developer
hands-on experience in aws ci/cd linux jenkins critical thinking skills: aws ci/cd linux jenkins,IT Infrastructure,DevOps Engineer
worked on several projects involving linux pyhton git rest docker django slq adaptability skills: linux python git rest docker django sql,Software Development,Backend Developer
